index,id,namespace,operation,platform,category,kernel_contract_version,hub_url
19,webgpu-kernels/ai.onnx.NonZero,ai.onnx,NonZero,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.NonZero
20,webgpu-kernels/ai.onnx.PRelu,ai.onnx,PRelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.PRelu
21,webgpu-kernels/ai.onnx.Pow,ai.onnx,Pow,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Pow
22,webgpu-kernels/ai.onnx.OneHot,ai.onnx,OneHot,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.OneHot
23,webgpu-kernels/ai.onnx.Pad,ai.onnx,Pad,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Pad
24,webgpu-kernels/ai.onnx.Or,ai.onnx,Or,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Or
25,webgpu-kernels/ai.onnx.Mul,ai.onnx,Mul,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Mul
26,webgpu-kernels/ai.onnx.NonMaxSuppression,ai.onnx,NonMaxSuppression,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.NonMaxSuppression
27,webgpu-kernels/ai.onnx.GreaterOrEqual,ai.onnx,GreaterOrEqual,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GreaterOrEqual
28,webgpu-kernels/ai.onnx.Less,ai.onnx,Less,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Less
29,webgpu-kernels/ai.onnx.LessOrEqual,ai.onnx,LessOrEqual,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LessOrEqual
30,webgpu-kernels/ai.onnx.LogSoftmax,ai.onnx,LogSoftmax,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LogSoftmax
31,webgpu-kernels/ai.onnx.MatMul,ai.onnx,MatMul,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.MatMul
32,webgpu-kernels/ai.onnx.Max,ai.onnx,Max,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Max
33,webgpu-kernels/ai.onnx.MaxUnpool,ai.onnx,MaxUnpool,WebGPU,pooling,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.MaxUnpool
34,webgpu-kernels/ai.onnx.Min,ai.onnx,Min,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Min
35,webgpu-kernels/ai.onnx.Div,ai.onnx,Div,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Div
36,webgpu-kernels/ai.onnx.Einsum,ai.onnx,Einsum,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Einsum
37,webgpu-kernels/ai.onnx.Equal,ai.onnx,Equal,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Equal
38,webgpu-kernels/ai.onnx.GatherElements,ai.onnx,GatherElements,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GatherElements
39,webgpu-kernels/ai.onnx.GatherND,ai.onnx,GatherND,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GatherND
40,webgpu-kernels/ai.onnx.Gemm,ai.onnx,Gemm,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Gemm
41,webgpu-kernels/ai.onnx.Greater,ai.onnx,Greater,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Greater
42,webgpu-kernels/ai.onnx.ConvTranspose,ai.onnx,ConvTranspose,WebGPU,convolution,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ConvTranspose
43,webgpu-kernels/ai.onnx.And,ai.onnx,And,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.And
44,webgpu-kernels/ai.onnx.Add,ai.onnx,Add,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Add
45,webgpu-kernels/ai.onnx.Attention,ai.onnx,Attention,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Attention
46,webgpu-kernels/ai.onnx.BitwiseOr,ai.onnx,BitwiseOr,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.BitwiseOr
47,webgpu-kernels/ai.onnx.BitwiseAnd,ai.onnx,BitwiseAnd,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.BitwiseAnd
48,webgpu-kernels/ai.onnx.BitwiseXor,ai.onnx,BitwiseXor,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.BitwiseXor
49,webgpu-kernels/ai.onnx.Concat,ai.onnx,Concat,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Concat
50,webgpu-kernels/ai.onnx.Conv,ai.onnx,Conv,WebGPU,convolution,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Conv
51,webgpu-kernels/com.microsoft.QMoE,com.microsoft,QMoE,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.QMoE
52,webgpu-kernels/com.microsoft.MatMulNBits,com.microsoft,MatMulNBits,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.MatMulNBits
53,webgpu-kernels/com.microsoft.MRotaryEmbedding,com.microsoft,MRotaryEmbedding,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.MRotaryEmbedding
54,webgpu-kernels/com.microsoft.MultiHeadAttention,com.microsoft,MultiHeadAttention,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.MultiHeadAttention
55,webgpu-kernels/com.microsoft.SparseAttention,com.microsoft,SparseAttention,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.SparseAttention
56,webgpu-kernels/com.microsoft.BiasAdd,com.microsoft,BiasAdd,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.BiasAdd
57,webgpu-kernels/com.microsoft.FusedConv,com.microsoft,FusedConv,WebGPU,convolution,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.FusedConv
58,webgpu-kernels/com.microsoft.GatedAdd,com.microsoft,GatedAdd,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.GatedAdd
59,webgpu-kernels/com.microsoft.FusedGemm,com.microsoft,FusedGemm,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.FusedGemm
60,webgpu-kernels/com.microsoft.FusedMatMul,com.microsoft,FusedMatMul,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.FusedMatMul
61,webgpu-kernels/com.microsoft.GemmFastGelu,com.microsoft,GemmFastGelu,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.GemmFastGelu
62,webgpu-kernels/com.microsoft.GroupQueryAttention,com.microsoft,GroupQueryAttention,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.GroupQueryAttention
63,webgpu-kernels/com.microsoft.MatMulBnb4,com.microsoft,MatMulBnb4,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.MatMulBnb4
64,webgpu-kernels/com.microsoft.VarlenCausalConvWithState,com.microsoft,VarlenCausalConvWithState,WebGPU,convolution,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.VarlenCausalConvWithState
65,webgpu-kernels/com.microsoft.PagedAttention,com.microsoft,PagedAttention,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.PagedAttention
66,webgpu-kernels/com.microsoft.SkipSimplifiedLayerNormalization,com.microsoft,SkipSimplifiedLayerNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.SkipSimplifiedLayerNormalization
67,webgpu-kernels/com.microsoft.QuickGelu,com.microsoft,QuickGelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.QuickGelu
68,webgpu-kernels/com.microsoft.SkipLayerNormalization,com.microsoft,SkipLayerNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.SkipLayerNormalization
69,webgpu-kernels/com.microsoft.MoE,com.microsoft,MoE,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.MoE
70,webgpu-kernels/com.microsoft.MatMulNBitsMlp,com.microsoft,MatMulNBitsMlp,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.MatMulNBitsMlp
71,webgpu-kernels/com.microsoft.MatMulNBitsQkv,com.microsoft,MatMulNBitsQkv,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.MatMulNBitsQkv
72,webgpu-kernels/com.microsoft.LinearAttentionGate,com.microsoft,LinearAttentionGate,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.LinearAttentionGate
73,webgpu-kernels/com.microsoft.LinearAttention,com.microsoft,LinearAttention,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.LinearAttention
74,webgpu-kernels/com.microsoft.GemmaRotaryEmbedding,com.microsoft,GemmaRotaryEmbedding,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.GemmaRotaryEmbedding
75,webgpu-kernels/com.microsoft.GatherBlockQuantized,com.microsoft,GatherBlockQuantized,WebGPU,quantization,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.GatherBlockQuantized
76,webgpu-kernels/com.microsoft.Gelu,com.microsoft,Gelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.Gelu
77,webgpu-kernels/com.microsoft.BiasSoftmax,com.microsoft,BiasSoftmax,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.BiasSoftmax
78,webgpu-kernels/com.microsoft.BiasSplitGelu,com.microsoft,BiasSplitGelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.BiasSplitGelu
79,webgpu-kernels/com.microsoft.CausalConvWithState,com.microsoft,CausalConvWithState,WebGPU,convolution,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.CausalConvWithState
80,webgpu-kernels/com.microsoft.FastGelu,com.microsoft,FastGelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.FastGelu
81,webgpu-kernels/com.microsoft.BiasGelu,com.microsoft,BiasGelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.BiasGelu
82,webgpu-kernels/com.microsoft.EmbedLayerNormalization,com.microsoft,EmbedLayerNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/com.microsoft.EmbedLayerNormalization
83,webgpu-kernels/ai.onnx.Trilu,ai.onnx,Trilu,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Trilu
84,webgpu-kernels/ai.onnx.Unsqueeze,ai.onnx,Unsqueeze,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Unsqueeze
85,webgpu-kernels/ai.onnx.Upsample,ai.onnx,Upsample,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Upsample
86,webgpu-kernels/ai.onnx.Tile,ai.onnx,Tile,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Tile
87,webgpu-kernels/ai.onnx.TopK,ai.onnx,TopK,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.TopK
88,webgpu-kernels/ai.onnx.Tanh,ai.onnx,Tanh,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Tanh
89,webgpu-kernels/ai.onnx.ThresholdedRelu,ai.onnx,ThresholdedRelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ThresholdedRelu
90,webgpu-kernels/ai.onnx.TensorScatter,ai.onnx,TensorScatter,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.TensorScatter
91,webgpu-kernels/ai.onnx.SwiGLU,ai.onnx,SwiGLU,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.SwiGLU
92,webgpu-kernels/ai.onnx.Swish,ai.onnx,Swish,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Swish
93,webgpu-kernels/ai.onnx.Sum,ai.onnx,Sum,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Sum
94,webgpu-kernels/ai.onnx.Tan,ai.onnx,Tan,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Tan
95,webgpu-kernels/ai.onnx.SplitToSequence,ai.onnx,SplitToSequence,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.SplitToSequence
96,webgpu-kernels/ai.onnx.Sqrt,ai.onnx,Sqrt,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Sqrt
97,webgpu-kernels/ai.onnx.STFT,ai.onnx,STFT,WebGPU,signal-image,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.STFT
98,webgpu-kernels/ai.onnx.SpaceToDepth,ai.onnx,SpaceToDepth,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.SpaceToDepth
99,webgpu-kernels/ai.onnx.Split,ai.onnx,Split,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Split
100,webgpu-kernels/ai.onnx.Softsign,ai.onnx,Softsign,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Softsign
101,webgpu-kernels/ai.onnx.Squeeze,ai.onnx,Squeeze,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Squeeze
102,webgpu-kernels/ai.onnx.Sinh,ai.onnx,Sinh,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Sinh
103,webgpu-kernels/ai.onnx.Size,ai.onnx,Size,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Size
104,webgpu-kernels/ai.onnx.Softplus,ai.onnx,Softplus,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Softplus
105,webgpu-kernels/ai.onnx.SimplifiedLayerNormalization,ai.onnx,SimplifiedLayerNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.SimplifiedLayerNormalization
106,webgpu-kernels/ai.onnx.Sign,ai.onnx,Sign,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Sign
107,webgpu-kernels/ai.onnx.Sin,ai.onnx,Sin,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Sin
108,webgpu-kernels/ai.onnx.Slice,ai.onnx,Slice,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Slice
109,webgpu-kernels/ai.onnx.Sigmoid,ai.onnx,Sigmoid,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Sigmoid
110,webgpu-kernels/ai.onnx.Shrink,ai.onnx,Shrink,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Shrink
111,webgpu-kernels/ai.onnx.Shape,ai.onnx,Shape,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Shape
112,webgpu-kernels/ai.onnx.Selu,ai.onnx,Selu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Selu
113,webgpu-kernels/ai.onnx.RotaryEmbedding,ai.onnx,RotaryEmbedding,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.RotaryEmbedding
114,webgpu-kernels/ai.onnx.Round,ai.onnx,Round,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Round
115,webgpu-kernels/ai.onnx.Scan,ai.onnx,Scan,WebGPU,sequence,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Scan
116,webgpu-kernels/ai.onnx.RoiAlign,ai.onnx,RoiAlign,WebGPU,signal-image,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.RoiAlign
117,webgpu-kernels/ai.onnx.Resize,ai.onnx,Resize,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Resize
118,webgpu-kernels/ai.onnx.RMSNormalization,ai.onnx,RMSNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.RMSNormalization
119,webgpu-kernels/ai.onnx.ReverseSequence,ai.onnx,ReverseSequence,WebGPU,indexing,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReverseSequence
120,webgpu-kernels/ai.onnx.RNN,ai.onnx,RNN,WebGPU,sequence,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.RNN
121,webgpu-kernels/ai.onnx.Relu,ai.onnx,Relu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Relu
122,webgpu-kernels/ai.onnx.Reshape,ai.onnx,Reshape,WebGPU,tensor-shape,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Reshape
123,webgpu-kernels/ai.onnx.ReduceLogSumExp,ai.onnx,ReduceLogSumExp,WebGPU,reduction,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.ReduceLogSumExp
124,webgpu-kernels/ai.onnx.QuantizeLinear,ai.onnx,QuantizeLinear,WebGPU,quantization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.QuantizeLinear
125,webgpu-kernels/ai.onnx.Range,ai.onnx,Range,WebGPU,control-data,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Range
126,webgpu-kernels/ai.onnx.Reciprocal,ai.onnx,Reciprocal,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Reciprocal
127,webgpu-kernels/ai.onnx.QLinearConv,ai.onnx,QLinearConv,WebGPU,convolution,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.QLinearConv
128,webgpu-kernels/ai.onnx.QLinearMatMul,ai.onnx,QLinearMatMul,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.QLinearMatMul
129,webgpu-kernels/ai.onnx.Not,ai.onnx,Not,WebGPU,logical-bitwise,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Not
130,webgpu-kernels/ai.onnx.Neg,ai.onnx,Neg,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Neg
131,webgpu-kernels/ai.onnx.MeanVarianceNormalization,ai.onnx,MeanVarianceNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.MeanVarianceNormalization
132,webgpu-kernels/ai.onnx.Mod,ai.onnx,Mod,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Mod
133,webgpu-kernels/ai.onnx.Mish,ai.onnx,Mish,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Mish
134,webgpu-kernels/ai.onnx.Mean,ai.onnx,Mean,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Mean
135,webgpu-kernels/ai.onnx.MaxPool,ai.onnx,MaxPool,WebGPU,pooling,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.MaxPool
136,webgpu-kernels/ai.onnx.MatMulInteger,ai.onnx,MatMulInteger,WebGPU,matrix,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.MatMulInteger
137,webgpu-kernels/ai.onnx.LRN,ai.onnx,LRN,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LRN
138,webgpu-kernels/ai.onnx.LSTM,ai.onnx,LSTM,WebGPU,sequence,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LSTM
139,webgpu-kernels/ai.onnx.LpPool,ai.onnx,LpPool,WebGPU,pooling,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LpPool
140,webgpu-kernels/ai.onnx.Loop,ai.onnx,Loop,WebGPU,sequence,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Loop
141,webgpu-kernels/ai.onnx.Log,ai.onnx,Log,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Log
142,webgpu-kernels/ai.onnx.LpNormalization,ai.onnx,LpNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LpNormalization
143,webgpu-kernels/ai.onnx.LayerNormalization,ai.onnx,LayerNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LayerNormalization
144,webgpu-kernels/ai.onnx.LinearAttention,ai.onnx,LinearAttention,WebGPU,attention,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LinearAttention
145,webgpu-kernels/ai.onnx.IsNaN,ai.onnx,IsNaN,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.IsNaN
146,webgpu-kernels/ai.onnx.IsInf,ai.onnx,IsInf,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.IsInf
147,webgpu-kernels/ai.onnx.LeakyRelu,ai.onnx,LeakyRelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.LeakyRelu
148,webgpu-kernels/ai.onnx.HardSwish,ai.onnx,HardSwish,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.HardSwish
149,webgpu-kernels/ai.onnx.InstanceNormalization,ai.onnx,InstanceNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.InstanceNormalization
150,webgpu-kernels/ai.onnx.If,ai.onnx,If,WebGPU,control-data,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.If
151,webgpu-kernels/ai.onnx.Identity,ai.onnx,Identity,WebGPU,control-data,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Identity
152,webgpu-kernels/ai.onnx.GRU,ai.onnx,GRU,WebGPU,sequence,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GRU
153,webgpu-kernels/ai.onnx.Hardmax,ai.onnx,Hardmax,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Hardmax
154,webgpu-kernels/ai.onnx.HannWindow,ai.onnx,HannWindow,WebGPU,signal-image,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.HannWindow
155,webgpu-kernels/ai.onnx.HardSigmoid,ai.onnx,HardSigmoid,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.HardSigmoid
156,webgpu-kernels/ai.onnx.GridSample,ai.onnx,GridSample,WebGPU,signal-image,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GridSample
157,webgpu-kernels/ai.onnx.GroupNormalization,ai.onnx,GroupNormalization,WebGPU,normalization,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GroupNormalization
158,webgpu-kernels/ai.onnx.HammingWindow,ai.onnx,HammingWindow,WebGPU,signal-image,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.HammingWindow
159,webgpu-kernels/ai.onnx.GlobalMaxPool,ai.onnx,GlobalMaxPool,WebGPU,pooling,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GlobalMaxPool
160,webgpu-kernels/ai.onnx.Gelu,ai.onnx,Gelu,WebGPU,activation,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Gelu
161,webgpu-kernels/ai.onnx.GlobalLpPool,ai.onnx,GlobalLpPool,WebGPU,pooling,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GlobalLpPool
162,webgpu-kernels/ai.onnx.GlobalAveragePool,ai.onnx,GlobalAveragePool,WebGPU,pooling,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.GlobalAveragePool
163,webgpu-kernels/ai.onnx.Floor,ai.onnx,Floor,WebGPU,math,1,https://huggingface.co/kernels/webgpu-kernels/ai.onnx.Floor
